,China,France,Germany,Italy,Russia,US
1/22/20,,,,,,
1/23/20,,,,,,
1/24/20,,,,,,
1/25/20,,,,,,
1/26/20,,,,,,
1/27/20,,,,,,
1/28/20,,,,,,
1/29/20,,,,,,
1/30/20,,,,,,
1/31/20,,,,,,
2/1/20,,,,,,
2/2/20,,,,,,
2/3/20,,,,,,
2/4/20,,,,,,
2/5/20,15814,-4,4,2,2,2
2/6/20,14948,-4,4,2,2,2
2/7/20,15426,-2,3,-1,-2,-1
2/8/20,14438,2,-3,-1,-2,-3
2/9/20,8644,2,-6,-1,-2,0
2/10/20,5799,2,-9,-1,-2,-6
2/11/20,2481,3,-4,-1,-2,-5
2/12/20,-4034,4,-4,-1,-2,-5
2/13/20,6862,4,-4,-1,-2,-4
2/14/20,7940,4,-5,-1,0,-2
2/15/20,6676,-4,-2,-1,0,-1
2/16/20,7485,-4,-2,-1,0,-1
2/17/20,7442,-4,0,-1,0,2
2/18/20,9146,-4,-4,-1,0,0
2/19/20,12541,-4,-4,-1,0,0
2/20/20,-14126,-4,-4,-1,0,-2
2/21/20,-23056,-4,-3,17,0,0
2/22/20,-23011,-1,-3,59,0,0
2/23/20,-24175,-1,-2,152,0,0
2/24/20,-25273,-1,-2,226,0,36
2/25/20,-26282,1,1,319,0,37
2/26/20,-26313,5,11,450,0,43
2/27/20,-11659,25,30,652,0,45
2/28/20,-5814,44,32,851,0,43
2/29/20,-6233,88,63,1007,0,51
3/1/20,-3599,118,114,1387,0,57
3/2/20,-1912,179,143,1581,1,9
3/3/20,-1036,188,178,1861,1,29
3/4/20,-1327,264,224,2186,1,48
3/5/20,-1586,316,406,2551,2,114
3/6/20,-1616,554,590,2880,11,157
3/7/20,-941,771,657,3689,11,281
3/8/20,-2019,888,796,4142,15,385
3/9/20,-2171,849,874,5329,13,438
3/10/20,-1881,1400,1082,5467,16,774
3/11/20,-1685,1735,1411,6737,16,1040
3/12/20,-1542,1571,1160,5401,22,1287
3/13/20,-1507,2426,2383,9276,21,1715
3/14/20,-1207,2678,3066,10519,35,1991
3/15/20,-711,2390,3845,11691,31,2537
3/16/20,-551,4436,5079,11672,59,3564
3/17/20,-455,4331,6539,13710,77,4621
3/18/20,-354,4826,8773,13878,110,5370
3/19/20,-171,6764,11646,19969,147,10568
3/20/20,50,6052,13168,16337,176,15004
3/21/20,121,6430,13842,17147,201,20437
3/22/20,252,8315,14323,17019,258,26796
3/23/20,292,7976,15688,17139,275,35166
3/24/20,362,8986,15929,16313,287,41857
3/25/20,378,9645,14577,15422,384,51493
3/26/20,402,9904,15376,10981,470,58145
3/27/20,342,11567,14850,10116,575,65636
3/28/20,366,13675,17854,6473,711,73227
3/29/20,255,12754,18144,4160,863,77833
3/30/20,235,11607,16045,1865,1050,78745
3/31/20,155,15298,15093,-1054,1461,87113
4/1/20,141,15673,15553,-2485,1608,89599
4/2/20,24,11797,12238,-4901,2067,89458
